Object Name,Latitude,Longitude
LES 2,-26.7458588333864,93.25136814634263
LCS 1,-26.88671329541806,-120.67081676846063
OPS 4682 DEB,-24.57074527947254,124.92459345098116
SL-8 DEB,31.29999376657144,68.72707608792345
OPS 4682 DEB,29.675580767945014,165.97117731450572
OPS 8480 (TRANSIT 5B-6),-84.60993743577878,162.22601917104433
THOR ABLESTAR DEB,8.074068925317551,-19.154927373141195
THOR ABLESTAR R/B,-39.119904216439636,161.40532098645454
TIROS 10,-66.41807330349664,-98.71989383522732
DELTA 1 R/B,70.9856487981964,6.574669817954405
THOR ABLESTAR DEB,78.41535955007971,-15.675009928440833
SL-8 DEB,8.392744104087402,54.76996200251269
SL-8 DEB,-53.69266046026019,-35.433318527940145
SL-8 DEB,24.861692889278647,-165.99863523381384
SL-8 DEB,-4.6826624664986864,110.28249220660786
SCOUT B R/B,-42.43148889567154,170.50432298388347
THOR ABLESTAR DEB,72.55185109632978,121.46018714940274
SECOR 5 (EGRS 5),-20.15107746937133,177.62640668776248
THOR ABLESTAR R/B,-59.40521275117186,113.75329324203341
DODECAPOLE 2,-83.84521469277182,-138.45730214087547
THOR ABLESTAR DEB,69.55672059045719,-97.40924499091535
TEMPSAT 1,-21.709643502824026,-96.34885050461484
OPS 8464 (TRANSIT 5B-7),-82.5195114482211,104.14368946423284
NAVSPASUR ROD 1,-72.4893851387801,-101.93310137114207
CALSPHERE 4(A),-15.77374940906631,-24.3824892732412
THOR ABLESTAR DEB,24.45830654472601,73.36923420397385
THOR ABLESTAR DEB,35.5301190476679,117.68322574378641
DELTA 1 DEB,38.755648649371835,77.52783193196223
SL-8 DEB,-54.45070175383526,146.6274221739873
COSMOS 80,-53.17944832498697,50.35212341663592
COSMOS 81,-5.072364699081476,24.466066510408822
COSMOS 82,43.53313958060221,-115.91385319887272
COSMOS 83,-56.16937943450139,146.36897778011598
COSMOS 84,34.2755729527311,54.460696009169844
SL-8 R/B,-56.161797854217305,128.64949730985734
VANGUARD DEB,-33.835364334052684,26.600098825033395
PORCUPINE 2,-5.971154756322091,-106.84923074782074
OPS 8068,43.414263841296,16.854272077287497
THOR ALTAIR R/B,24.285578895995215,101.60483374606896
COSMOS 86,-7.974966798394289,-176.75067373671206
COSMOS 87,10.864970236679712,-84.18000900186006
COSMOS 88,-28.032027101576546,149.7962649580148
COSMOS 89,55.832607585767846,91.08506795773839
COSMOS 90,-47.71787922356923,28.290532429284337
SL-8 R/B,24.900973640164946,-125.57284169769909
SL-8 DEB,14.3666867565632,-93.3492857151125
SL-8 DEB,-51.40188833345108,-60.778757542089956
THOR ABLESTAR DEB,25.000196662213884,162.66151147159903
OV1-2,-23.016609819558564,-102.36575128769813
ATLAS D R/B,-2.2394962382014945,27.506826956025616
SL-8 DEB,13.986253137255,-136.4457383707161
SL-8 DEB,-51.297740240149665,173.7525178807254
